Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
"Centaur-kin, Zebranaur",Temperate plains,Very rare,Tribe,Day,Omnivore,Average (8-10),"M,Q (I, M&times;10)",Neutral,2-16 (50-80),7,18,3+4,17,1 to 3,1d4/1d4 and weapon,+1 with bow,Nil,Nil,L (6' and taller),Steady (11-12),175<br>Chief: 270<br>Shaman: 420
Cerebral Parasite,Any/Any,Rare,Infestation,Any,Psionic Energy,Non- (0),Nil,Neutral,3d4,Nil,Nil,Nil,Nil,0,0,Psionic,Only affected by <i>cure disease</i>,Nil,T (flea-sized),Nil,35
Chattur,Any space,Common,Pack,Any,Omnivore,Low (5-7),B,Chaotic good,45346,7,12,1-Jan,20,1,1-4 (or by weapon),Nil,Nil,Nil,S (1-2' tall),Average (10),15
Chevall,"Nonarctic plains, forests, mountains",Rare,Solitary,Day,Omnivore,Very (11-12),"M,Q (C)",Neutral good,1d3,2 (as horse) or 5 (as centaur),24 (as horse) or 18 (as centaur),7,13,3,1d6 (hoof)/1d6 (hoof)/1d8 (bite) or 1d6 (hoof)/1d6 (hoof)/by weapon,Summon and command horses,Silver or +1 or better magical weapons to hit,Nil,"L (5' tall as horse, 7-8' tall as centaur)",Champion (15) as horse<br>Elite (13) as centaur,650
Chimera,Any temperate to tropical,Rare,Solitary or pride,Any,Omnivore,Semi- (2-4),F,Chaotic evil,45295,6/5/2002,"9, Fl 18 (E)",9,11,6,1-3/1-3/1-4/1-4/2-8 (2d4)/3-12 (3d4),Breath weapon,Nil,Nil,L (5' tall at the shoulder),Elite (13-14),"5,000"
Chitine,Any subterranean,Very rare,Tribal,Any,Carnivore,Very (11-12),"D (K,Q)",Lawful evil,22190,9 (6),"12, Wb 9",2,19,3,1-6/1-6/1-6,Webbing traps,Nil,Nil,S (4' tall),Steady (11-12),65
Chosen One,Any,Rare,Band,Any,Carnivore,Low (5-7),Nil,Chaotic evil,45442,7,12,3,17,3 or 2,1d4/1d4/1d8 (or weapon and 1d8),Poison,Nil,Nil,M,Fanatic (18),175
Chronolily,Ethereal Plane,Very rare,Solitary,Any,Special,Semi- (2-4),Nil,Neutral,1,10,Nil,3,Nil,Nil,Nil,See below,See below,Nil,G (50' diameter),Nil,65
Chronovoid,Demiplane of Time,Common,Colony,Any,Omnivore,Average (8-10),G,Chaotic neutral,45303,6,6,12+1 (total),9,1,2d6,Absorption,See below,40%,See below,Average (10),"9,000 (total), see below"
Chulcrix,Ethereal plane,Very rare,Solitary,Any,Carnivore,Low (5-7),Nil,Chaotic evil,1,-2,Fl 18 (B),13,7,2,3d6/3d6,See below,See below,20%,G (100' long),Steady (12),"18,000"
Cildabrin,Warm subterranean areas,Very rare,Solitary,Any,Carnivore,Average (8-10),C or D,Neutral evil,45293,5,15,11,9,3,1-12/1-12/1-6,See below,Nil,20%,"H (13' across, 6-10' high)",Elite (14),"7,000"
Cloaker,Any subterranean,Very rare,Solitary,Night,Carnivore,High (13-14),C,Chaotic neutral,45295,3 (1),"1, Fl 15 (D)",6,15,2 + special,1-6/1-6 + special,See below,See below,Nil,L (8' long),Elite (13-14),"1,400"
Cloaker Lord,Any,Very rare,Solitary or Community (leading cloakers),Any,Carnivore,Genius (17-18),"C,V",Chaotic neutral,1,3 (1),"2, Fl 19 (C)",9,11,2 + special,2-8 + victim's AC/2-12,Special,Special,30%,H (12'+ long),Fanatic (17-18),"2,000"
Clockwork Swordsman,Any,Very rare,Solitary,Any,,Very to Exceptional (11-16),"Q (&times;2), see below",Chaotic good,1,2,12,10-May,5-6 HD: 15<br>7-8 HD: 13<br>9-10 HD: 11,2,By weapon (+3 Strength bonus),See below,See below,Nil,M (6' tall),Fearless (19-20),"5 HD: 650<br>6 HD: 975<br>7 HD: 1,400<br>8 HD: 2,000 (+1000 per additional HD)"
Cockatrice,"Temperate to tropical, any terrain",Uncommon,Flock,Any,Omnivore,Animal (1),D,Neutral,45297,6,"6, Fl 18 (C)",5,15,1,3-Jan,Petrification,Nil,Nil,S (3' tall),Steady (11-12),650
Coffer Corpse,Any,Very rare,Solitary,Any,,Low (5-7),Nil (8),Chaotic evil,1,8,6,2,19,1,1d6 or by weapon,Nil,"Hit only by +1 or better magical weapons, see below",Nil,M (4'1&rdquo;-7' tall),Average (9),65
Colossus,Wildspace,Very rare,Solitary or clan,Day,Herbivore,Low to average (5-10),Nil,Any chaotic,1 or 1-6,10,"48, Fl 24 (E)",35,5,1 every 2 rounds,50-100 (or 5-10 hull points),"Stunning clap, throw boulders",Nil,Nil,G (60' tall),Unsteady (6),"27,000"
"Colossus, Stone",Any/Outdoors,Rare,Solitary,Any,,Non- (0),Nil,Neutral,1,2,12,22 (100 hp),5,1,30-Mar,Fear,See below,See below,H (18' diameter sphere),Fearless (19-20),"18,000"
Couatl,Tropical and subtropical jungles,Very rare,Solitary,Any,Carnivore,Genius (17-18),"B,I",Lawful good,45295,5,"6, Fl 18 (A)",9,11,2,1-3/2-8 (2d4),"Poison, magic use",Etherealness,Nil,L (12' long),Elite (13-14),"6,000"
Crabman,Temperate to tropical sea coasts,Rare,Tribal,Any,Omnivore,Low to average (5-10),"(K&times;5,L&times;5,C)",Neutral,45334,4,"9, Sw 6",3,17,2,1-6/1-6,Nil,Nil,Nil,M-L (7-10' tall),Steady (11-12),65
Crawling Claw,Any,Rare,Swarm,Any,Special,Non- (0),Any,Neutral,45311,7,9,2-4 hit points,20,1,1-4 (armored foes)<br>1-6 (unarmored foes),Nil,See below,See below,T (human hand),Fearless (19-20),35
Crypt Servant,Tombs,Rare,Solitary or staff,Any,,Low (5-7),See below,Lawful neutral,45311,5,12,6,15,2,1-4/1-4 or by weapon,Nil,"Spell immunities, immune to piercing weapons",Nil,M (4-7' tall),Fearless (20),650
Crypt Thing,Any/Tomb or grave area,Very rare,Solitary,Any,,Very (11-12),Z,Neutral,1,3,12,6,15,1,8-Jan,Teleport,See below,Nil,M (6' tall),Fanatic (17-18),975
Crystalmist,Temperate and subtropical/mountains,Uncommon,Swarm,Night,Special,Non- (0)/Animal (1),Nil,Neutral,Swarm of 200+1d100,7,Fl 6 (A),50 hp,13,1,6-Jan,Light beams,See below,Nil,T (1' diameter),Steady (11-12),"2,000"
Curotai,Subterranean caverns,Rare,Family,Nocturnal,Carnivore,Average (8-10),Nil,Chaotic evil,1,6,12,6+6,13,4,By weapon type +3 strength bonus,Nil,Parrying,Nil,L (9' tall),Steady (12),"2,000"
Curst,Subterranean,Rare,Solitary,Night,,See below,Nil,Chaotic neutral,45333,7 (or by armor),12,As level,As per level,1 or as per level,1d4 or by weapon,Rot grubs (15%),"Spell immunities; immune to fire, cold, energy drain",85%,M (58-68),Average (10),Varies
Daemonlord,Abyss (Krynn),Very rare,Solitary,Any,Carnivore,Genius (18),W,Chaotic evil,1,-2,"12, Fl 30 (B)",15,5,3,1d10/1d10/3d10,"Paralyze with gaze, deafen with roar, lightning 6/day","+2 or better weapons needed to hit, invulnerable to any creature except those witnessing its creation",50%,L (12' tall),Fearless (20),"21,000"
Darkenbeast,Any,Very rare,Pack,Night,Carnivore,Semi- (2-4),Nil,Neutral,See below,4,18,5+5,19,1 or 3,1-4/1-4/3-12,Rear claws 1-4/1-4,Immune to mind control,25%,M (4-5'),Steady (11-12),975
Darklore,Lower Planes,Very rare,Solitary,Any,Knowledge,Average (8-10),Nil,Neutral evil,1,0,3,6+2,15,1d6,1d6 per attack,Absorb or bestow knowledge,"+1 or better weapons to hit, half damage from edged weapons",20%,L (10' wide),Steady (11),"6,000"
Darktentacles,All wetlands,Very rare,Solitary,Any,Carnivore,High (13-14),Nil (B),Chaotic evil,1,3,1,9,11,5 or 2 per opponent (36 total),"1-6 (constrict), 1-2 (slap), or by weapon",<i>Charm</i> spell,<i>Hold</i> and <i>sphere of force</i> spells,60%,L to H (7-15'+),Elite (13),"14,000"
Death Knight,Any,Very rare,Solitary,Any,,Genius (17-18),Nil,Chaotic evil,1,0,12,9 (10-sided dice),11,1 with +3 bonus,By weapon,See below,See below,75% (see below),M (6-7' tall),Fanatic (17),"6,000"
Death's Head Tree,Temperate land,Rare,Special,Any,Special,Semi- (2-4),Special,Neutral evil,Special,10 (trunk); 7 (branches/heads),"0 (tree), Fl 6 (E) (heads)",10 (plus 6 hp per head),11,1 per head,1 per seed (per head) or 1d4 per bite (per head),Seed spitting,Immune to fire,10%,H (15-20' tall),Fearless (19-20),"5,000"
Deepspawn,Any,Very rare,Solitary,Any,Omnivorous,Genius (17-18),"K,L,M,Q&times;2,V&times;2,X",Chaotic evil,1,6,"6, Sw 8",14,7,6,3-12 &times;3 (bites)/2-5 &times;3 (slaps) or by weapon type &times;3,See below,See below,77%,"H (14' diam., tentacles to 20' long)",Elite (15-16),"12,000"
Delphinid,Phlogiston flow,Uncommon,School,Any,Omnivore,Low (5-7),Nil,Chaotic good,45334,6,21,3+3,17,1,6-Jan,Nil,Nil,Nil,L (9' long),Average (9),120
Denizen,Hades,Common in Hades; unknown elsewhere,Group,Any,,Average (10-11),V (magical weapons possible),Lawful Evi,45295,Jan-00,"12/12, Fl 18",10-Aug,13/11,2-Jan,1-6/1-8 or weapon,Nil,See below,30%/35%,M/L,Steady (11-12),650 (3000)/1400 (5000)
Dharculus,Special,Very rare,Solitary,Any,Carnivore,Very (11-12),Nil,Chaotic neutral,1,2,9,10,11,6 or 1,1d4&times;6 (tentacles) or 2d10 (maw),Nil,Ethereal attack,Nil,H (30' long),Elite (14),"3,000"
Dimensional Warper,Any,Very rare,Solitary,Any,Omnivore,Supra to genius (19-20),Nil,Neutral,1,1,12,10-Aug,8 or 9 HD: 13<br>10 HD: 11,3,1-3/1-3/1-6,See below,See below,Nil,M (6' tall),Elite (14),"8 or 9 HD: 3,500<br>10 HD: 5,000"
Disenchanter,Any,Very rare,Solitary,Any,Magic,Average (8-10),Nil,Neutral,45293,5,12,5,15,1,Nil,Drains magic,Can be hit only by magical weapons,Nil,L (5' tall at shoulder),Champion (15-16),650
Disir,Subterranean,Very Rare,Tribal,Any,Omnivore,Highly (13-14),(B),Lawful evil,2d4,3,12,5,15,3,2d4/2d4/2d6,Pain,Fire resistance,Nil,M (6-7' tall),Champion (15),975
Displacer Beast,Temperate mountains,Very rare,Pack,Any,Carnivorous,Semi-(2-4),(D),Lawful evil,2-5 (1d4+1),4,15,6,15,2,2-8 (2d4)/2-8 (2d4),Nil,-2 on opponent's attack roll,Nil,L (8-12' long),Elite (13-14),975
Dizantar,Any space,Very rare,Solitary,Any,Unknown,Exceptional (15-16),Nil,Lawful evil,1,-3,15,8,13,1,7-16 (halberd),Spiked armor,Dimension door,20%,L (8' tall),Fearless (20),"5,000"
"Dog, Moon",Elysium and Prime,Rare,Solitary or small pack (see below),Any,Carnivore,High to exceptional (13-16),Nil,Neutral good,1 or 2-8 (see below),0,"30, bipedal 9",9+3,11,1,12-Mar,"Bay, howl","Shadowy hypnotic pattern, +2 or better weapons to hit",25%,M (3' at shoulders),Fanatic (17-18),"9,000"
"Dog, Saluqi",Any arid land,Uncommon,Pack,Night,Carnivore,Semi (2-4),Nil,Neutral,3d4,7,18,2,19,1,1d8,Overbearing,Nil,Nil,S (3' tall),Elite (13-14),120
"Dog, Temporal",Demiplane of Time,Uncommon,Solitary or in packs,Any,Carnivorous,Very (11-12),Nil (W),Lawful neutral,1 (15%: 2-12),3,18,4+1,15,1,1d8,Haste (see below),Timeslip,10%,Medium (3-4' long),Average (10),375
Dolphin,Any saltwater,Uncommon,School,Any,Carnivore,Very (11-12),Nil,Lawful good,45342,5,30,2+2,19,1,8-Feb,Nil,Save as 4th-lvl fighter,Nil,M (5-6' long),Steady (11),120
Dolphin (Athas),Ocean (The Last Sea),Uncommon,Pod,Any,Carnivore,Very (11-12),Nil,Any good,45301,4,Sw 30,3+3,17,1,1d10,Nil,Save as 5th-level fighter,Nil,M (5-6' long),Elite (13),270
Doomsphere (Ghost Beholder),Any land,Very rare,Solitary,Any,Nil,Exceptional (15-16),"I,S,T",Lawful evil,1,-0.166666667,Fl 6 (A),12,9,1 + 10 special,3d4,Eyestalk magic,Anti-magic ray,Special,M (4'-6' diameter),Fanatic (18),"16,000"
Doppelganger,Any,Very rare,Tribal,Any,Omnivore,Very (11-12),E,Neutral,45363,5,9,4,17,1,12-Jan,Surprise,See below,See below,M,Elite (13),420
"Doppelganger, Greater",Any,Very rare,Solitary,Any,Omnivore,Exceptional to Genius (15-18),Neutral evil,"K,L,M (G,U&times;3)",14,2,12,9,11,2,1d12/1d12,See below,See below,See below,M-L (varies),Fanatic (17-18),"4,000"
Dowagu,Any,Very Rare,Small group,Night,Strength Points,Exceptional (16),,Lawful Evil,"Up to 6, but usually 1","3 (torso), 0 (tail), -2 (head)","18, Fl 36 (B)",12 (75 hp),9,5,"by weapon (x4), 1d10 (tail)","<i>touch</i>, <i>fear</i> aura, spells","silence, dark, hit only in light",20%,H (12' long),Fanatic (18),"14,000"
Dracimera,Any temperature to tropical,Very rare,Solitary,Any,Carnivore,Low (5-7),Nil (F),Varies (see below),1,Black: 1; Blue: 0; Brown: 2; Green: 0; Red: -3; Shadow: -4; White: 1; Yellow: 0,"10, Fl 15 (E)",12,9,6,1d3/1d3/1d4/1d4/1d12/1d12 (claw/claw/horn/horn/bite/bite),Breath weapon,"Immune to breath weapon of dragon parent and like attacks (spells, etc.)",Nil,L (5' tall at the shoulder),Elite (13-14),"Black 9,000<br>Blue 10,000<br>Brown 9,000<br>Green 10,000<br>Red 10,000<br>Shadow 10,000<br>White 9,000<br>Yellow 10,000"
Dracohydra,Temperate/mountains or barrens,Very rare,Solitary,Night,Carnivore,Low (5-7),Special,Chaotic evil,1 (1d4),2 (base),"6, Fl 21 (D)",12 (base),9 (base),4 to 7  (depending on number of heads) + special,"1d8 (claw)/1d8 (claw)/2d8 (bite, per head.at least 2 bites possible)",See below,See below,Varies,G (45' base),Steady (11-12),Varies
Dracolich,As per former dragon type,Very rare,Solitary,Night,"None required for sustenance, but as per former dragon type to refuel breath weapon",As per individual dragon,"B,H,S,T","Lawful evil, neutral evil, or chaotic evil (as per former dragon type; nonevil dragons become evil on transformation)",1,As per former dragon type with an additional -2 bonus to AC,As per former dragon type and age,As per former dragon type and age,As per former dragon type and age,"As per former dragon type, typically 3 + special",As per former dragon type and age + 2d8 points of cold damage per successful attack + 2d6 rounds of paralysis (save vs. paralysis allowed),"Breath weapon, spell use, paralyzing gaze, undead control","Strengthened dragon fear aura; immune to <i>charm</i>, <i>sleep</i>, <i>enfeeblement</i>, <i>polymorph</i>, cold (magical or normal), electricity, <i>hold</i>, insanity, or <i>death</i> spells or symbols, poison, paralysis, and turning; no attack or damage roll bonuses allowed against them; injured only by magical attacks from 6th-level or greater wizards or by attacks from 6 or more HD monsters",As per former dragon type and age,As per individual dragon,"As per former dragon type until specific circumstances occur (see below), then Fearless (19-20)","As per individual dragon, plus 1,000 (both body and host must be destroyed)"
"Draconian, Aurak","Any, except water",Rare,Solitary,Any,Special,Exceptional (15-16),"K,L,N,V",Lawful evil,45293,0,15,8,13,2 or 1,3-10 (&times;2) or spell,Spells and breath,+4 bonus to saves,30%,M (7' tall),Champion (15),"6,000"
"Draconian, Baaz","Any, but usually tropical and temperate/Forest, plain, and urban",Uncommon,Band,Any,Special,Average (8-10),"M,Q, (D,I,T)",Lawful or chaotic evil,45342,4,"6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18",2,19,2 or 1,1-4/1-4 or by weapon,Nil,Nil,20%,M (5½' tall),Elite (13),175
"Draconian, Bozak","Any, but usually tropical, subtropical, and temperate/Forest",Uncommon,Band,Any,Special,Highly (13-14),"Q&times;2, (U)",Lawful evil,45342,2,"6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18, Fl 6 (E)",4,17,2 or 1,1-4/1-4 or by weapon,Spells,+2 bonus to saves,20%,M (6'+ tall),Elite (13),"1,400"
"Draconian, Kapak","Any, but usually tropical, subtropical, and temperate/Forest and mountain",Uncommon,Band,Any,Carnivore,Average (8-10),"K,L,M, (I,Y)",Lawful evil,45342,4,"6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18",3,17,1,4-Jan,Poison,Nil,20%,M (6' tall),Elite (13),650
"Draconian, Proto-, Traag",Temperate plain or forest,Very rare,Tribal,Night,Carnivore,Low (5-7),,Chaotic evil,2d6,4,6,3,17,2 or 1,1d6/1d6 or by weapon,,,Nil,M (5-6' tall),Special,120<br>Chieftain 175
"Draconian, Sesk",Temperate plain or forest,Very Rare,Tribal,Day,Carnivore,Average (8-11),,Neutral evil,2d6,6,9,2,18,2 or 1,1d4/1d4 (claw/claw) or by weapon,+1 to hit with claws,,Nil,M (4-5' tall),,100<br>Chieftain: 150
"Draconian, Sivak","Any, but usually tropical, subtropical, and temperate/Mountain and hill",Uncommon,Band,Any,Special,Highly (13-14),"Q,½V, (Z)",Neutral evil,45342,1,"6, Run 15 (this movement rate applies when the draconian is running on all fours, flapping its wings), Glide 18, Fl 24 (C)",6,15,3 or 1,1-6/1-6/2-12 or by weapon,,+2 bonus to saves,20%,L (9' tall),Elite (14),"2,000"
Dragger,Any (caverns or subterranean),Rare,Solitary,Any,Omnivorous,Low (5),Q,Neutral,1d6,0,"12, burrow 9",6-Feb,19 (2 HD)<br>17 (3-4 HD)<br>15 (5-6 HD),1,3d4 per round (digestive juices),Swallow whole,"Immune to most spells, half-damage from edged and piercing weapons",Nil,L (8-12' in diameter),Fearless (20),"2 Hit Dice: 975<br>3 Hit Dice: 1,400<br>4 Hit Dice: 2,000<br>5 Hit Dice: 3,000<br>6 Hit Dice: 4,000"
Dragon (Cerilia),Mountains,Very rare,Solitary,Any,Carnivore,Exceptional (15-16),"(H, S, T)",Any neutral,1,0 or better,"9, F124 (C)",15 (base),6 (base),3 + special,1d10/1d10/2d12,"Breath weapon, spells",See below,Variable,G (40' base),Fanatic (17-18),"22,000 (base)"
"Dragon (Oerth), Greyhawk","Temparate/Cities (rarely Temperate/Hills, plains and forests)",Very rare,Solitary,Any,Special,Supra-genius (19-20),Special,Lawful neutral (good),1,0 (base),"9, Fl 30 (D), Sw 6",11 (base),9 (base),3 + special,1-10/1-10/3-30,Special,Variable,Variable,H (25' base),Fanatic (17),Variable
Dragon Turtle,Subtropical and temperate fresh and salt water,Very rare,Solitary,Any,Carnivore,Very (11-12),"B,R,S,T,V",Neutral,1,0,"3, Sw 9",14-Dec,12 Hit Dice: 9<br>13-14 Hit Dice: 7,3,2-12/2-12/4-32,"Breath weapon, capsize ships",Nil,Nil,G (30' diameter shell),Fanatic (17),"12 Hit Dice: 10,000<br>13 Hit Dice: 11,000<br>14 Hit Dice: 12,000"
"Dragon, Amphi","Tropical, subtropical and temperate/Ocean",Rare,Solitary,Any,Special,Very (11-12),Special,Neutral evil,45295,3 (base),"6, SW 24",9 (base),11 (at 9 HD),3 + special,1-8/1-8/2-20,"Tongue, breath weapon, and magical abilities",Varies,Varies,H (25' base length),Champion (16),Varies
"Dragon, Brine",Any/Ocean,Very rare,Solitary,Any,Omnivore,Low (5-7),Special,Chaotic neutral,1 (2-5),2 (base),Sw 9,11 (base),9 (base),1 + special,Apr-40,Breath weapon and magical abilities,Varies,Varies,H (26' base),Champion (15),Varies
"Dragon, Brown",Arid/Desert,Very rare,Solitary or clan,Any,Special,High (13-14),Special,Neutral (evil),1 (2-5),2 (base),"12, Br 24",14 (base),7,3 + special,1-4/1-4/3-30,See below,Varies,See below,G (54' base),Fanatic (17-18),Varies
"Dragon, Chromatic, Black","Any swamp, jungle, and subterranean",Rare,Solitary or clan,Any,Special,Average (8-10),Special,Chaotic evil,1 (2-5),1 (base),"12, Fl 30 (C), Sw 12",12 (base),9 (base),3 + special,1-6/1-6/3-18,Special,Variable,Variable,G (30' base),Fanatic (17-18),Variable
"Dragon, Chromatic, Blue",Arid deserts,Very rare,Solitary or clan,Any,Special,Very (11-12),Special,Lawful evil,1 (2-5),0 (base),"9, Fl 30 (C), Br 4",14 (base),7 (base),3 + special,1-8/1-8/3-24,Special,Varies,Varies,G (42' base),Fanatic (17-18),Varies
"Dragon, Chromatic, Green","Sub-tropical, temperate/forest, subterranean",Very rare,Solitary or clan,Any,Special,Very (11-12),Special,Lawful evil,1 (2-5),0 (base),"9, Fl 30 (C), Sw 9",13 (base),7 (base),3 + special,1-8/1-8/2-20 (2d10),Special,Varies,Varies,G (36' base),Champion (15-16),Varies
"Dragon, Chromatic, Red","Tropical, sub-tropical, temperate/hills, mountains",Very rare,Solitary or clan,Any,Special,Exceptional (15-16),Special,Chaotic evil,1 (2-5),-3 (base),"9, Fl 30 (C), Jp 3",15 (base),7 (at 9 HD),3 + special,1-10/1-10/3-30 (3d10),Special,Varies,Varies,G (48' base),Fanatic (17-18),Varies
"Dragon, Chromatic, White","Arctic plains, hills, mountains, and subterranean",Rare,Solitary or clan,Any,Special,Low (5-7),Special,Chaotic evil,1 (2-5),1 (base),"12, Fl 40 (C), Sw 12",11 (base),9 (at 11 HD),3 + special,1-6/1-6/3-16 (2d8),Special,Varies,Varies,H (24' base),Champion (15-16),Varies
"Dragon, Cloud","Tropical, subtropical, temperature/Clouds, mountains",Very rare,Solitary or clan,Any,Special,Genius (17-18),Special,Neutral,1 (2-5),0 (base),"6, Fl 39 (C), Jp 3",14 (base),7,3 + special,1-10/1-10/3-36,Special,Varies,Varies,G (66' base),Fanatic (17),Varies
"Dragon, Deep","Hill and mountain caverns, subterranean",Rare,Solitary or clan,Any,Carnivorous,Exceptional (15-16),Special,Chaotic evil,1 (2-5),0 (base),"12, Fl 30 (C), Br 6, Sw 9",14 (base),7 (base),3 + special,3-12/3-12/3-24,See below,Variable,Variable,H (24' base),Fanatic (17-18),Variable
"Dragon, Electrum",Mountains or barrens,Rare,Solitary,Any,Omnivore,Exceptional (15-16),See below,Neutral good,1,2 (base),"12, Fl 24 (C), Jp 2",9 (base),11 (base),3 + special,1d4(&times;2)/3d8,See below,See below,See below,G (36' base),Fearless (19 base),See below
"Dragon, Eormennoth",The treasury vault beneath Ravens Bluff,Unique individual,Solitary at present but still looking,Any,Almost anything (prefers seafood and pearls),Exceptional (16),"H,S,T&times;2",Lawful good,1,-6,"9, fly 30 (C), swim 12",18,0,3,1d8+8/1d8+8/4d6+8 (claw/claw/bite),"Tail slap (2d8+16 plus stun), kick (1d8+8 plus knockdown), wing buffet (1d8+8/1d8+8 plus knockdown), breath weapon (lightning stroke 100 feet long), fear aura (30-yard radius), <i>weather summoning</i>, spells","<i>ESP</i>, <i>polymorph self</i> (thrice per day), breath weapon (repulsion cloud 20 feet long, 30 feet wide, & 30 feet high), immune to electricity, <i>wall of fog</i> (once per day), sense intruder in lair (80-foot range), spells",35%,G (78' body plus 70' tail),Fanatic (17),"20,000"
"Dragon, Fang",Mountains or barrens,Very rare,Solitary,Any,Carnivore,Average to very (8-12),In lair only; see below,Chaotic neutral,1,1 (base),"12, Fl 22 (D), Jp 9",11 (base),9 (base),4,2d4(&times;2)/2d8/3d6,See below,See below,See below,G (36' base),Fanatic (17 base),See below
"Dragon, Gem, Amethyst","Temperate, cold/mountain lakes",Very rare,Solitary or clan,Any,Special,Genius (17-18),Special,Neutral,1 (2-5),-4 (base),"12, Fl 40 (C), Sw 12",14 (base),7 (base),3,1-10/1-10/5-30,Varies,Varies,Varies,G (30' base),Fanatic (17-18),Varies
"Dragon, Gem, Crystal","Temperate, cold/Mountains",Very rare,Solitary or clan,Any,Special,Exceptional (15-16),Special,Chaotic neutral,1 (2-5),0 (base),"9, Fl 24 (C), Jp 3",10 (base),11 (base),3 + special,1-6/1-6/2-12,Varies,Varies,Varies,L (12' base),Fanatic (17-18),Varies
"Dragon, Gem, Emerald","Tropical, subtropical/Extinct volcanoes",Very rare,Solitary or clan,Any,Special,Exceptional (15-16),Special,Lawful neutral,1 (2-5),-2 (base),"9, Fl 30 (C), Br 3",12 (base),9 (base),3,1-8/1-8/3-18,Varies,Varies,Varies,H (20' base),Fanatic (17-18),Varies
"Dragon, Gem, Sapphire",Any/Subterranean,Very rare,Solitary or clan,Any,Special,Genius (17-18),Special,Lawful neutral,1 (2-5),-3 (base),"9, Fl 30 (C), Br 6",13 (base),7 (base),3,1-8/1-8/5-20 (3d6+2),Varies,Varies,Varies,H (24' base),Fanatic (17-18),Varies
